Chn,Identifier,Flg,DLC,D0,1,2,3,4,5,6,D7,Time,Dir
,0,00000323,8,64,00,00,00,00,00,00,00,28086.008660,R
,0,00000163,8,00,00,00,00,00,09,62,2D,28086.009510,R
,0,00000163,8,00,00,00,00,00,09,62,2E,28086.011560,R
,0,00000163,8,00,00,00,00,00,09,62,2F,28086.013610,R
,0,00000163,8,00,00,00,00,00,09,62,30,28086.015650,R
,0,000000A3,8,34,08,00,00,00,00,00,00,28086.017450,R
,0,00000090,8,64,00,00,00,00,00,00,00,28086.017700,R
,0,000000B3,8,FC,08,00,00,00,00,00,00,28086.017960,R
,0,00000163,8,00,00,00,00,00,09,62,31,28086.018210,R
,0,00000230,8,64,00,00,00,00,00,00,00,28086.018470,R
,0,00000323,8,64,00,00,00,00,00,00,00,28086.018640,R
,0,00000163,8,00,00,00,00,00,09,62,32,28086.019750,R
,0,00000163,8,00,00,00,00,00,09,62,33,28086.021800,R
,0,00000163,8,00,00,00,00,00,09,62,34,28086.023850,R
,0,00000163,8,00,00,00,00,00,09,62,35,28086.025890,R
,0,000000A3,8,34,08,00,00,00,00,00,00,28086.027430,R
,0,00000090,8,64,00,00,00,00,00,00,00,28086.027690,R
,0,000000B3,8,FC,08,00,00,00,00,00,00,28086.027940,R
,0,00000163,8,00,00,00,00,00,09,62,36,28086.028200,R
,0,00000230,8,64,00,00,00,00,00,00,00,28086.028450,R
,0,00000323,8,64,00,00,00,00,00,00,00,28086.028620,R
,0,00000163,8,00,00,00,00,00,09,62,37,28086.029990,R
,0,00000163,8,00,00,00,00,00,09,62,38,28086.031950,R
,0,00000163,8,00,00,00,00,00,09,62,39,28086.034000,R
,0,00000163,8,00,00,00,00,00,09,62,3A,28086.036050,R
,0,000000A3,8,34,08,00,00,00,00,00,00,28086.037410,R
,0,00000090,8,64,00,00,00,00,00,00,00,28086.037670,R
,0,000000B3,8,FC,08,00,00,00,00,00,00,28086.037930,R
,0,00000163,8,00,00,00,00,00,09,62,3B,28086.038180,R
,0,00000230,8,64,00,00,00,00,00,00,00,28086.038440,R
,0,00000323,8,64,00,00,00,00,00,00,00,28086.038690,R
,0,00000163,8,00,00,00,00,00,09,62,3C,28086.040140,R
,0,00000163,8,00,00,00,00,00,09,62,3D,28086.042190,R
,0,00000163,8,00,00,00,00,00,09,62,3E,28086.044240,R
,0,00000163,8,00,00,00,00,00,09,62,3F,28086.046290,R
,0,00000230,8,64,00,00,00,00,00,00,00,28086.047400,R
,0,00000090,8,64,00,00,00,00,00,00,00,28086.047650,R
,0,00000323,8,64,00,00,00,00,00,00,00,28086.047910,R
,0,00000163,8,00,00,00,00,00,09,62,40,28086.048340,R
,0,00000163,8,00,00,00,00,00,09,62,41,28086.050300,R
,0,00000163,8,00,00,00,00,00,09,62,42,28086.052350,R
,0,00000163,8,00,00,00,00,00,09,62,43,28086.054390,R
,0,00000163,8,00,00,00,00,00,09,62,44,28086.056440,R
,0,00000230,8,64,00,00,00,00,00,00,00,28086.057470,R
,0,00000090,8,64,00,00,00,00,00,00,00,28086.057640,R
,0,00000323,8,64,00,00,00,00,00,00,00,28086.057890,R
,0,00000163,8,00,00,00,00,00,09,62,45,28086.058490,R
,0,00000163,8,00,00,00,00,00,09,62,46,28086.060540,R
,0,00000163,8,00,00,00,00,00,09,62,47,28086.062590,R
,0,00000163,8,00,00,00,00,00,09,62,48,28086.064550,R
,0,00000163,8,00,00,00,00,00,09,62,49,28086.066600,R
,0,00000230,8,64,00,00,00,00,00,00,00,28086.067450,R
,0,00000090,8,64,00,00,00,00,00,00,00,28086.067710,R
,0,00000323,8,64,00,00,00,00,00,00,00,28086.067880,R
,0,00000163,8,00,00,00,00,00,09,62,4A,28086.068650,R
,0,00000163,8,00,00,00,00,00,09,62,4B,28086.070690,R
,0,00000163,8,00,00,00,00,00,09,62,4C,28086.072740,R
,0,00000163,8,00,00,00,00,00,09,62,4D,28086.074790,R
,0,00000163,8,00,00,00,00,00,09,62,4E,28086.076840,R
,0,00000230,8,64,00,00,00,00,00,00,00,28086.077430,R
,0,00000090,8,64,00,00,00,00,00,00,00,28086.077690,R
,0,00000323,8,64,00,00,00,00,00,00,00,28086.077950,R
,0,00000163,8,00,00,00,00,00,09,62,4F,28086.078890,R
,0,00000163,8,00,00,00,00,00,09,62,50,28086.080930,R
,0,00000163,8,00,00,00,00,00,09,62,51,28086.082980,R
,0,00000163,8,00,00,00,00,00,09,62,52,28086.084940,R
,0,00000163,8,00,00,00,00,00,09,62,53,28086.086990,R
,0,000000A0,8,39,08,00,00,00,00,00,00,28086.087420,R
,0,00000090,8,64,00,00,00,00,00,00,00,28086.087670,R
,0,000000B0,8,9D,08,00,00,00,00,00,00,28086.087930,R
,0,000000C0,8,01,09,00,00,00,00,00,00,28086.088190,R
,0,00000230,8,64,00,00,00,00,00,00,00,28086.088360,R
,0,00000323,8,64,00,00,00,00,00,00,00,28086.088610,R
,0,00000163,8,00,00,00,00,00,09,62,54,28086.089040,R
,0,00000163,8,00,00,00,00,00,09,62,55,28086.091090,R
,0,00000163,8,00,00,00,00,00,09,62,56,28086.093140,R
,0,00000163,8,00,00,00,00,00,09,62,57,28086.095180,R
,0,00000163,8,00,00,00,00,00,09,62,58,28086.097230,R
,0,00000090,8,64,00,00,00,00,00,00,00,28086.097490,R
,0,000000A0,8,3E,08,00,00,00,00,00,00,28086.097740,R
,0,000000B0,8,A2,08,00,00,00,00,00,00,28086.098000,R
,0,000000C0,8,06,09,00,00,00,00,00,00,28086.098170,R
