Chn,Identifier,Flg,DLC,D0,1,2,3,4,5,6,D7,Time,Dir
,0,000000B2,8,64,00,00,00,00,00,00,00,27568.507810,R
,0,00000230,8,64,00,00,00,00,00,00,00,27568.508070,R
,0,00000323,8,64,00,00,00,00,00,00,00,27568.508330,R
,0,00000163,8,00,00,00,00,00,0D,0C,37,27568.508580,R
,0,00000500,8,64,00,00,00,00,00,00,00,27568.508750,R
,0,00000565,8,00,00,00,00,00,0D,0C,37,27568.509010,R
,0,00000163,8,00,00,00,00,00,0D,0C,38,27568.510370,R
,0,00000565,8,00,00,00,00,00,0D,0C,38,27568.510800,R
,0,00000163,8,00,00,00,00,00,0D,0C,39,27568.512420,R
,0,00000565,8,00,00,00,00,00,0D,0C,39,27568.512850,R
,0,00000163,8,00,00,00,00,00,0D,0C,3A,27568.514470,R
,0,00000565,8,00,00,00,00,00,0D,0C,3A,27568.514900,R
,0,00000163,8,00,00,00,00,00,0D,0C,3B,27568.516520,R
,0,00000565,8,00,00,00,00,00,0D,0C,3B,27568.516940,R
,0,00000090,8,64,00,00,00,00,00,00,00,27568.517110,R
,0,00000098,8,64,00,00,00,00,00,00,00,27568.517370,R
,0,000000B2,8,64,00,00,00,00,00,00,00,27568.517630,R
,0,000000C4,8,6D,06,00,00,00,00,00,00,27568.517880,R
,0,00000230,8,64,00,00,00,00,00,00,00,27568.518140,R
,0,00000323,8,64,00,00,00,00,00,00,00,27568.518390,R
,0,00000163,8,00,00,00,00,00,0D,0C,3C,27568.518650,R
,0,00000500,8,64,00,00,00,00,00,00,00,27568.518910,R
,0,00000565,8,00,00,00,00,00,0D,0C,3C,27568.519080,R
,0,00000163,8,00,00,00,00,00,0D,0C,3D,27568.520610,R
,0,00000565,8,00,00,00,00,00,0D,0C,3D,27568.520950,R
,0,00000163,8,00,00,00,00,00,0D,0C,3E,27568.522660,R
,0,00000565,8,00,00,00,00,00,0D,0C,3E,27568.523000,R
,0,00000163,8,00,00,00,00,00,0D,0C,3F,27568.524620,R
,0,00000565,8,00,00,00,00,00,0D,0C,3F,27568.525050,R
,0,00000163,8,00,00,00,00,00,0D,0C,40,27568.526670,R
,0,000000C4,8,6D,06,00,00,00,00,00,00,27568.527100,R
,0,00000090,8,64,00,00,00,00,00,00,00,27568.527270,R
,0,00000098,8,64,00,00,00,00,00,00,00,27568.527530,R
,0,000000B2,8,64,00,00,00,00,00,00,00,27568.527780,R
,0,00000230,8,64,00,00,00,00,00,00,00,27568.528040,R
