Chn,dec,id,Time,t,B0,B0,B0,,C0,,,,,,,
201,177,000000B1,27626.66632,0.11571,-1,,,,15,,,,19,,,
202,178,000000B2,27626.66658,0.11597,-2,,,,14,,,,18,,,
203,355,163,27626.66683,0.11622,-179,,,,-163,,,,-159,,,
204,560,230,27626.66709,0.11648,-384,,,,-368,,,,-364,,,
205,803,323,27626.66726,0.11665,-627,,,,-611,,,,-607,,,
206,1280,500,27626.66751,0.1169,-1104,,,,-1088,,,,-1084,,,
207,1381,565,27626.66777,0.11716,-1205,,,,-1189,,,,-1185,,,
208,355,163,27626.66845,0.11784,-179,,,,-163,,,,-159,,,
209,1381,565,27626.66888,0.11827,-1205,,,,-1189,,,,-1185,,,
210,355,163,27626.6705,0.11989,-179,,,,-163,,,,-159,,,
211,1381,565,27626.67093,0.12032,-1205,,,,-1189,,,,-1185,,,
212,355,163,27626.67255,0.12194,-179,,,,-163,,,,-159,,,
213,1381,565,27626.67298,0.12237,-1205,,,,-1189,,,,-1185,,,
214,355,163,27626.6746,0.12399,-179,,,,-163,,,,-159,,,
215,1381,565,27626.67502,0.12441,-1205,,,,-1189,,,,-1185,,,
216,196,000000C4,27626.67562,0.12501,-20,,,,-4,,,,0,0,,
217,144,90,27626.67579,0.12518,32,,,,48,,,,52,,,
218,152,98,27626.67605,0.12544,24,,,,40,,,,44,,,
219,178,000000B2,27626.6763,0.12569,-2,,,,14,,,,18,,,
220,560,230,27626.67656,0.12595,-384,,,,-368,,,,-364,,,
221,355,163,27626.67682,0.12621,-179,,,,-163,,,,-159,,,
222,803,323,27626.67707,0.12646,-627,,,,-611,,,,-607,,,
223,1280,500,27626.67733,0.12672,-1104,,,,-1088,,,,-1084,,,
224,1381,565,27626.67758,0.12697,-1205,,,,-1189,,,,-1185,,,
225,355,163,27626.67869,0.12808,-179,,,,-163,,,,-159,,,
226,1381,565,27626.67903,0.12842,-1205,,,,-1189,,,,-1185,,,
227,355,163,27626.68074,0.13013,-179,,,,-163,,,,-159,,,
228,1381,565,27626.68108,0.13047,-1205,,,,-1189,,,,-1185,,,
229,355,163,27626.6827,0.13209,-179,,,,-163,,,,-159,,,
230,1381,565,27626.68313,0.13252,-1205,,,,-1189,,,,-1185,,,
231,355,163,27626.68475,0.13414,-179,,,,-163,,,,-159,,,
232,1381,565,27626.68518,0.13457,-1205,,,,-1189,,,,-1185,,,
233,196,000000C4,27626.68561,0.135,-20,,,,-4,,,,0,0,,
234,144,90,27626.68586,0.13525,32,,,,48,,,,52,,,
235,152,98,27626.68603,0.13542,24,,,,40,,,,44,,,
