id,id,time,per,
,90,27453.71443,,0.16393
,98,27453.71468,,0.16418
,000000B0,27453.71494,,0.16444
,000000B2,27453.71519,,0.16469
,000000C0,27453.71545,,0.16495
,163,27453.71571,,0.16521
,230,27453.71596,0.00981,0.16546
,323,27453.71613,,0.16563
,500,27453.71639,,0.16589
,565,27453.71665,,0.16615
,163,27453.71724,,0.16674
,565,27453.71767,,0.16717
,163,27453.71929,,0.16879
,565,27453.71972,,0.16922
,163,27453.72134,,0.17084
,565,27453.72177,,0.17127
,163,27453.72339,,0.17289
,565,27453.72381,,0.17331
,000000A0,27453.72424,,0.17374
,90,27453.72441,,0.17391
,98,27453.72467,,0.17417
,000000B0,27453.72492,,0.17442
,000000B2,27453.72518,,0.17468
,000000C0,27453.72543,,0.17493
,163,27453.72569,,0.17519
,230,27453.72595,0.00982,0.17545
,323,27453.7262,,0.1757
,500,27453.72637,,0.17587
,565,27453.72663,,0.17613
,163,27453.72748,,0.17698
,565,27453.72782,,0.17732
,163,27453.72953,,0.17903
,565,27453.72987,,0.17937
,163,27453.73149,,0.18099
,565,27453.73192,,0.18142
,163,27453.73354,,0.18304
,565,27453.73397,,0.18347
,90,27453.73422,,0.18372
,98,27453.73448,,0.18398
,000000A0,27453.73474,,0.18424
,000000B0,27453.73499,,0.18449
,000000B2,27453.73516,,0.18466
,000000C0,27453.73542,,0.18492
,163,27453.73567,,0.18517
,230,27453.73593,0.00973,0.18543
,323,27453.73619,,0.18569
,500,27453.73644,,0.18594
,565,27453.7367,,0.1862
,163,27453.73764,,0.18714
,565,27453.73806,,0.18756
,163,27453.73969,,0.18919
,565,27453.74011,,0.18961
,163,27453.74173,,0.19123
,565,27453.74216,,0.19166
,163,27453.74378,,0.19328
,565,27453.74421,,0.19371
,90,27453.74438,,0.19388
,98,27453.74463,,0.19413
,000000A1,27453.74489,,0.19439
,000000B1,27453.74515,,0.19465
,000000B2,27453.7454,,0.1949
,230,27453.74566,0.00999,0.19516
,163,27453.74591,,0.19541
,323,27453.74617,,0.19567
,500,27453.74634,,0.19584
,565,27453.7466,,0.1961
,163,27453.74788,,0.19738
,565,27453.74822,,0.19772
,163,27453.74993,,0.19943
,565,27453.75027,,0.19977
,163,27453.75189,,0.20139
,565,27453.75231,,0.20181
,163,27453.75394,,0.20344
,90,27453.75419,,0.20369
,98,27453.75445,,0.20395
,000000A1,27453.7547,,0.2042
,000000B1,27453.75496,,0.20446
,000000B2,27453.75522,,0.20472
,230,27453.75539,0.00999,0.20489
,323,27453.75564,,0.20514
,500,27453.7559,,0.2054
,565,27453.75615,,0.20565
