,Chn,Identifier,Flg,DLC,D0,1,2,3,4,5,6,D7,Time,Dir
,0,00000565,,8,00,00,00,00,00,01,0E,27,,27323.248290,R
,0,00000163,,8,00,00,00,00,00,01,0E,28,,27323.249910,R
,0,00000565,,8,00,00,00,00,00,01,0E,28,,27323.250340,R
,0,000000A3,,8,44,11,00,00,00,00,00,00,,27323.251960,R
,0,00000090,,8,64,00,00,00,00,00,00,00,,27323.252220,R
,0,00000098,,8,64,00,00,00,00,00,00,00,,27323.252390,R
,0,000000B2,,8,64,00,00,00,00,00,00,00,,27323.252650,R
,0,000000B3,,8,0C,12,00,00,00,00,00,00,,27323.252900,R
,0,00000163,,8,00,00,00,00,00,01,0E,29,,27323.253160,R
,0,00000230,,8,64,00,00,00,00,00,00,00,,27323.253410,R
,0,00000323,,8,64,00,00,00,00,00,00,00,,27323.253670,R
,0,00000500,,8,64,00,00,00,00,00,00,00,,27323.253930,R
,0,00000565,,8,00,00,00,00,00,01,0E,29,,27323.254180,R
,0,00000163,,8,00,00,00,00,00,01,0E,2A,,27323.254780,R
,0,00000565,,8,00,00,00,00,00,01,0E,2A,,27323.255120,R
,0,00000163,,8,00,00,00,00,00,01,0E,2B,,27323.256060,R
,0,00000565,,8,00,00,00,00,00,01,0E,2B,,27323.256490,R
,0,00000163,,8,00,00,00,00,00,01,0E,2C,,27323.258110,R
,0,00000565,,8,00,00,00,00,00,01,0E,2C,,27323.258530,R
,0,00000163,,8,00,00,00,00,00,01,0E,2D,,27323.260150,R
,0,00000565,,8,00,00,00,00,00,01,0E,2D,,27323.260580,R
,0,000000A3,,8,44,11,00,00,00,00,00,00,,27323.261950,R
,0,00000090,,8,64,00,00,00,00,00,00,00,,27323.262200,R
,0,00000098,,8,64,00,00,00,00,00,00,00,,27323.262460,R
,0,000000B2,,8,64,00,00,00,00,00,00,00,,27323.262630,R
,0,000000B3,,8,0C,12,00,00,00,00,00,00,,27323.262890,R
,0,00000163,,8,00,00,00,00,00,01,0E,2E,,27323.263140,R
,0,00000230,,8,64,00,00,00,00,00,00,00,,27323.263400,R
,0,00000323,,8,64,00,00,00,00,00,00,00,,27323.263650,R
,0,00000500,,8,64,00,00,00,00,00,00,00,,27323.263910,R
,0,00000565,,8,00,00,00,00,00,01,0E,2E,,27323.264170,R
,0,00000163,,8,00,00,00,00,00,01,0E,2F,,27323.264760,R
,0,00000565,,8,00,00,00,00,00,01,0E,2F,,27323.265100,R
,0,00000163,,8,00,00,00,00,00,01,0E,30,,27323.266300,R
,0,00000565,,8,00,00,00,00,00,01,0E,30,,27323.266640,R
,0,00000163,,8,00,00,00,00,00,01,0E,31,,27323.268260,R
,0,00000565,,8,00,00,00,00,00,01,0E,31,,27323.268690,R
,0,00000163,,8,00,00,00,00,00,01,0E,32,,27323.270310,R
,0,00000565,,8,00,00,00,00,00,01,0E,32,,27323.270740,R
